Stop,StopTranslated,Fish,FishTranslated,BaitRagworm,BaitKrill,BaitPlumpWorm,BaitVersatileLure,BaitSpecial,BaitMooch,BaitSpecialType,BaitSpecialTypeTranslated,BaitMoochType,BaitMoochTypeTranslated,BestBait,BestBaitTranslated,Points,DH,TH,Bite,Hookset,hooksetName,WeatherFairSkies,WeatherClouds,WeatherFog,WeatherSpecial1,WeatherSpecial2,WeatherSpecial3,WeatherClearSkies,WeatherSpecial1Type,WeatherSpecial1TypeTranslated,WeatherSpecial2Type,WeatherSpecial2TypeTranslated,WeatherSpecial3Type,WeatherSpecial3TypeTranslated,TimeFrameDay,TimeFrameSunset,TimeFrameNight,Stars,Mission,Species,SpeciesTranslated,Intuition,FabledTable,Route1,Route2,Route3,Route4,Route5,Route6,Route7,Route8,Route9
One River,Muni,Spectral Kotsu Zetsu,Kotsu zetsu spectral,17 - 28,17 - 28,17 - 28,18 - 28,,,,,,,Krill,Krill,100,1,1,!!!,Powerful,Ferrage puissant,Yes,Yes,Yes,Yes,Yes,,No,Rain,Pluie,Showers,Pluie torrentielle,,,,,,4,,,,,Yes,No,Yes,No,No,Yes,No,No,Yes,No
One River,Muni,I!Fishy Shark,Requin d'herbiers,,,17 - 28,,,,,,,,Plump Worm,Ver charnu,223,1,1,!!!,Powerful,Ferrage puissant,Yes,Yes,Yes,Yes,Yes,,Yes,Rain,Pluie,Showers,Pluie torrentielle,,,,,,4,,,,"(60s) x3 <img class=""iconMini"" src=""../img/fish/Catching Carp.png"" alt=""Carpe herabuna"" data-bs-toggle=""tooltip"" data-bs-trigger=""hover"" data-bs-title=""Carpe herabuna"" tabindex=""0"">",No,No,Yes,No,No,Yes,No,No,Yes,No
One River,Muni,T!Gensui Shrimp,Crevette Gensui,3 - 4,3 - 4,3 - 4,5 - 8,3 - 4,,Stonefly Nymph,Nymphe de plécoptère,,,Ragworm,Teigne,85,4,7,!,Precision,Ferrage précis,,,,,,,,,,,,,,Yes,Yes,Yes,4,H,Shrimp,Crevette,,Yes,No,Yes,No,No,Yes,No,No,Yes,No
One River,Muni,Yato-no-kami,Yato-no-kami,2 - 3,2 - 3,2 - 3,4 - 6,5 - 6,,Stonefly Nymph,Nymphe de plécoptère,,,Plump Worm,Ver charnu,79,2,3,!!,Powerful,Ferrage puissant,,,,,,,,,,,,,,Yes,Yes,Yes,4,,,,,No,No,Yes,No,No,Yes,No,No,Yes,No
One River,Muni,Heron's Eel,Anguille du Héron,3 - 4,3 - 4,3 - 4,5 - 8,3 - 4,,Stonefly Nymph,Nymphe de plécoptère,,,Plump Worm,Ver charnu,79,2,3,!!,Powerful,Ferrage puissant,,,,,,,,,,,,,,Yes,Yes,Yes,4,,,,,No,No,Yes,No,No,Yes,No,No,Yes,No
One River,Muni,Crowshadow Mussel,Moule perlière,4.5 - 7,4.5 - 7,4.5 - 7,7 - 10,7 - 11,,Stonefly Nymph,Nymphe de plécoptère,,,Ragworm,Teigne,85,4,7,!,Precision,Ferrage précis,,,,,,,,,,,,,,Yes,Yes,Yes,4,M,Shellfish,Mollusque,,Yes,No,Yes,No,No,Yes,No,No,Yes,No
One River,Muni,T!Yanxian Goby,Gobie yanxien,2 - 3,2 - 3,2 - 3,4 - 6,2 - 3,,Stonefly Nymph,Nymphe de plécoptère,,,Ragworm,Teigne,85,2,3,!,Precision,Ferrage précis,,,,,,,,,,,,,,Yes,Yes,Yes,4,,,,,Yes,No,Yes,No,No,Yes,No,No,Yes,No
One River,Muni,Iridescent Trout,Truite iridescente,,5 - 6,,7 - 8,,,Stonefly Nymph,Nymphe de plécoptère,,,Krill,Krill,184,2,3,!,Precision,Ferrage précis,,,,,,,,,,,,,,No,Yes,No,4,,,,,No,No,No,No,No,Yes,No,No,No,No
One River,Muni,Un-Namazu,Primo-Namazu,,5 - 6,,7 - 8,,,Stonefly Nymph,Nymphe de plécoptère,,,Krill,Krill,209,2,3,!!,Powerful,Ferrage puissant,,,,,,,,,,,,,,No,No,Yes,4,,,,,No,No,No,No,No,No,No,No,Yes,No
One River,Muni,Gakugyo,Gakugyo,,,6 - 8,8 - 9,,,Stonefly Nymph,Nymphe de plécoptère,,,Plump Worm,Ver charnu,185,2,3,!!!,Powerful,Ferrage puissant,,,,,,,,,,,,,,No,No,Yes,4,,,,,No,No,No,No,No,No,No,No,Yes,No
One River,Muni,Ginrin Goshiki,Ginrin goshiki,,5 - 6,,7 - 8,,,Stonefly Nymph,Nymphe de plécoptère,,,Krill,Krill,209,2,3,!!,Powerful,Ferrage puissant,,,,,,,,,,,,,,No,Yes,No,4,,,,,No,No,No,No,No,Yes,No,No,No,No
One River,Muni,F!Jewel of Plum Spring,Joyau de printemps,,,,,5 - 8,,Stonefly Nymph,Nymphe de plécoptère,,,Stonefly Nymph,Nymphe de plécoptère,500,1,1,!!!,Powerful,Ferrage puissant,,,,,,,,,,,,,,Yes,No,No,5,,,,"(15s) x2 <img class=""iconMini"" src=""../img/fish/Yanxian Goby.png"" alt=""Gobie yanxien"" data-bs-toggle=""tooltip"" data-bs-trigger=""hover"" data-bs-title=""Gobie yanxien"" tabindex=""0""> + x1 <img class=""iconMini"" src=""../img/fish/Gensui Shrimp.png"" alt=""Crevette Gensui"" data-bs-toggle=""tooltip"" data-bs-trigger=""hover"" data-bs-title=""Crevette Gensui"" tabindex=""0"">",Yes,No,Yes,No,No,No,No,No,No,No
Unnamed,Île sans nom,First Mate's Finger,Doigt-du-second,7 - 9,7 - 9,7 - 9,,,,,,,,Ragworm,Teigne,10,3,5,!,Precision,Ferrage précis,Yes,Yes,Yes,Yes,Yes,,Yes,Rain,Pluie,Showers,Pluie torrentielle,,,,,,1,N,Mantis,Crevette-mante,,Yes,Yes,No,No,Yes,No,No,Yes,No,No
Unnamed,Île sans nom,Specterfish,Poisson-fantôme,6 - 8,6 - 8,6 - 8,,,,,,,,Krill,Krill,15,2,3,!!,Powerful,Ferrage puissant,Yes,Yes,Yes,No,No,,Yes,Rain,Pluie,Showers,Pluie torrentielle,,,,,,1,,,,,No,Yes,No,No,Yes,No,No,Yes,No,No
Unnamed,Île sans nom,Rhotano Permit,Carangue de Rhotano,10 - 13,10 - 13,10 - 13,,,,,,,,Plump Worm,Ver charnu,11,2,3,!!,Powerful,Ferrage puissant,Yes,Yes,Yes,Yes,Yes,,Yes,Rain,Pluie,Showers,Pluie torrentielle,,,,,,1,,,,,No,Yes,No,No,Yes,No,No,Yes,No,No
Unnamed,Île sans nom,T!Rhotano Dahlia,Dahlia de Rhotano,16 - 19,11 - 14,16 - 19,,,,,,,,Krill,Krill,35,2,3,!,Precision,Ferrage précis,Yes,Yes,Yes,Yes,Yes,,Yes,Rain,Pluie,Showers,Pluie torrentielle,,,,,,2,,,,,No,Yes,No,No,Yes,No,No,Yes,No,No
Unnamed,Île sans nom,Lodesmate's Pen,Plume-du-pilote,21 - 25,16 - 20,21 - 25,,,,,,,,Krill,Krill,35,2,3,!!,Powerful,Ferrage puissant,Yes,Yes,Yes,Yes,No,,Yes,Rain,Pluie,Showers,Pluie torrentielle,,,,,,2,,,,,No,Yes,No,No,Yes,No,No,Yes,No,No
Unnamed,Île sans nom,Rhotano Roosterfish,Poisson-coq de Rhotano,20 - 24,20 - 24,15 - 19,,,,,,,,Plump Worm,Ver charnu,40,2,3,!!,Powerful,Ferrage puissant,Yes,No,No,Yes,Yes,,Yes,Rain,Pluie,Showers,Pluie torrentielle,,,,,,2,,,,,No,Yes,No,No,Yes,No,No,Yes,No,No
Unnamed,Île sans nom,Rhotanosaurus,Rhotanosaure,21 - 26,21 - 26,21 - 26,,,,,,,,Plump Worm,Ver charnu,59,3,5,!!!,Powerful,Ferrage puissant,Yes,Yes,Yes,Yes,Yes,,Yes,Rain,Pluie,Showers,Pluie torrentielle,,,,,,3,P,Prehistoric,Créature antique,,Yes,Yes,No,No,Yes,No,No,Yes,No,No
Unnamed,Île sans nom,Royal Handmaiden,Serviteur royal,12 - 14,13 - 15,13 - 15,,,,,,,,Ragworm,Teigne,52,2,3,!,Precision,Ferrage précis,Yes,Yes,Yes,Yes,Yes,,Yes,Rain,Pluie,Showers,Pluie torrentielle,,,,,,3,,,,,No,Yes,No,No,Yes,No,No,Yes,No,No
Unnamed,Île sans nom,Spectral Starfish,Étoile de mer spectrale,16 - 19,16 - 19,16 - 19,,,,,,,,Ragworm,Teigne,100,1,1,!!!,Precision,Ferrage précis,Yes,Yes,Yes,Yes,Yes,,No,Rain,Pluie,Showers,Pluie torrentielle,,,,,,4,,,,,Yes,Yes,No,No,Yes,No,No,Yes,No,No
Unnamed,Île sans nom,I!Frolicsome Fish,Poissi-poisson,13 - 14,,,,,,,,,,Ragworm,Teigne,236,1,1,!!!,Precision,Ferrage précis,Yes,Yes,Yes,Yes,Yes,,Yes,Rain,Pluie,Showers,Pluie torrentielle,,,,,,4,,,,"(60s) x3 <img class=""iconMini"" src=""../img/fish/Rhotano Dahlia.png"" alt=""Rhotano Dahlia"" data-bs-toggle=""tooltip"" data-bs-trigger=""hover"" data-bs-title=""Rhotano Dahlia"" tabindex=""0"">",No,Yes,No,No,Yes,No,No,Yes,No,No
Unnamed,Île sans nom,Captain's Finger,Doigt-du-capitaine,2 - 3,,,,,,,,,,Ragworm,Teigne,86,4,7,!,Precision,Ferrage précis,,,,,,,,,,,,,,Yes,Yes,Yes,4,N,Mantis,Crevette-mante,,No,No,No,No,Yes,No,No,Yes,No,No
Unnamed,Île sans nom,Bright Red Coral,Corail rouge cramoisi,4 - 5,4 - 5,4 - 5,,,,,,,,Krill,Krill,84,2,3,!,Precision,Ferrage précis,,,,,,,,,,,,,,Yes,Yes,Yes,4,,,,,No,Yes,No,No,Yes,No,No,Yes,No,No
Unnamed,Île sans nom,Royal Favorite,Ambassadeur royal,4 - 5,4 - 5,4 - 5,,,,,,,,Ragworm,Teigne,69,2,3,!,Precision,Ferrage précis,,,,,,,,,,,,,,Yes,Yes,Yes,4,,,,,No,Yes,No,No,Yes,No,No,Yes,No,No
Unnamed,Île sans nom,Pirate's Purse,Poisson-ange boucanier,6 - 7,,,,,,,,,,Ragworm,Teigne,199,2,3,!,Precision,Ferrage précis,,,,,,,,,,,,,,No,No,Yes,4,,,,,No,No,No,No,Yes,No,No,No,No,No
Unnamed,Île sans nom,M!T!Captain's Pen,Plume-du-capitaine,3 - 4,3 - 4,3 - 4,,,,,,,,Krill,Krill,58,2,3,!!,Powerful,Ferrage puissant,,,,,,,,,,,,,,Yes,Yes,Yes,4,,,,,Yes,Yes,No,No,Yes,No,No,Yes,No,No
Unnamed,Île sans nom,Tylosaurus,Tylosaurus,3 - 4,3 - 4,3 - 4,,,3 - 4,,,M!T!Captain's Pen,M!T!Captain's Pen,Plump Worm,Ver charnu,68,3,5,!!!,Powerful,Ferrage puissant,,,,,,,,,,,,,,Yes,Yes,Yes,4,P,Prehistoric,Créature antique,,Yes,Yes,No,No,Yes,No,No,Yes,No,No
Unnamed,Île sans nom,M!Cieldalaes Roosterfish,Poisson-coq de Cieldalaes,,,,,,4.5 - 5,,,M!T!Captain's Pen,M!T!Captain's Pen,M!T!Captain's Pen,Plume-du-capitaine,100,2,3,!!,Powerful,Ferrage puissant,,,,,,,,,,,,,,Yes,Yes,Yes,4,,,,,Yes,Yes,No,No,Yes,No,No,Yes,No,No
Unnamed,Île sans nom,Renegade Rhotanosaurus,Rhotanosaure à griffes sombres,,,5 - 6,,,,,,M!T!Captain's Pen,M!T!Captain's Pen,Plump Worm,Ver charnu,160,4,7,!!!,Powerful,Ferrage puissant,,,,,,,,,,,,,,No,Yes,No,4,P,Prehistoric,Créature antique,,No,Yes,No,No,No,No,No,No,No,No
Unnamed,Île sans nom,Red Boarfish,Poisson-sanglier rouge,,6 - 7,,,,,,,,,Krill,Krill,200,2,3,!!,Powerful,Ferrage puissant,,,,,,,,,,,,,,Yes,No,No,4,,,,,No,No,No,No,No,No,No,Yes,No,No
Unnamed,Île sans nom,F!Akupara,Akupara,,,,,,6 - 8,,,M!Cieldalaes Roosterfish,M!Cieldalaes Roosterfish,M!Cieldalaes Roosterfish,Poisson-coq de Cieldalaes,500,1,1,!!!,Powerful,Ferrage puissant,,,,,,,,,,,,,,No,Yes,No,5,P,Prehistoric,Créature antique,"(20s) x2 <img class=""iconMini"" src=""../img/fish/Cieldalaes Roosterfish.png"" alt=""Cieldalaes Roosterfish"" data-bs-toggle=""tooltip"" data-bs-trigger=""hover"" data-bs-title=""Cieldalaes Roosterfish"" tabindex=""0"">",Yes,Yes,No,No,No,No,No,No,No,No
Thavnair,Thavnair,T!Red Mantis,Squille rouge,7 - 9,7 - 9,7 - 9,,,,,,,,Ragworm,Teigne,8,3,5,!,Precision,Ferrage précis,Yes,Yes,Yes,Yes,Yes,,Yes,Rain,Pluie,Showers,Pluie torrentielle,,,,,,1,N,Mantis,Crevette-mante,,No,Yes,No,No,Yes,No,No,Yes,No,No
Thavnair,Thavnair,Datli Gwl,Datli gwl,6 - 8,6 - 8,6 - 8,,,,,,,,Krill,Krill,9,2,3,!!,Powerful,Ferrage puissant,Yes,Yes,Yes,Yes,Yes,,Yes,Rain,Pluie,Showers,Pluie torrentielle,,,,,,1,,,,,Yes,Yes,No,No,Yes,No,No,Yes,No,No
Thavnair,Thavnair,Agama's Strand,Barbe-d'Agama,4 - 5,4 - 5,4 - 5,,,,,,,,Ragworm,Teigne,13,2,3,!,Precision,Ferrage précis,Yes,Yes,Yes,No,No,,Yes,Rain,Pluie,Showers,Pluie torrentielle,,,,,,1,,,,,No,Yes,No,No,Yes,No,No,Yes,No,No
Thavnair,Thavnair,Palaka's Blade,Lame-des-Palaka,12 - 15,17 - 20,17 - 20,,,,,,,,Ragworm,Teigne,36,2,3,!,Precision,Ferrage précis,Yes,Yes,Yes,Yes,No,,Yes,Rain,Pluie,Showers,Pluie torrentielle,,,,,,2,,,,,No,Yes,No,No,Yes,No,No,Yes,No,No
Thavnair,Thavnair,Parjanya Wrasse,Labre parjanya,9.5 - 10,4 - 5,9.5 - 10,,,,,,,,Krill,Krill,31,2,3,!!,Powerful,Ferrage puissant,Yes,No,No,Yes,Yes,,Yes,Rain,Pluie,Showers,Pluie torrentielle,,,,,,2,,,,,No,Yes,No,No,Yes,No,No,Yes,No,No
Thavnair,Thavnair,Simolestes,Simolestes,18 - 21,18 - 21,13 - 16,,,,,,,,Plump Worm,Ver charnu,27,3,5,!!,Powerful,Ferrage puissant,Yes,Yes,Yes,Yes,Yes,,Yes,Rain,Pluie,Showers,Pluie torrentielle,,,,,,2,P,Prehistoric,Créature antique,,No,Yes,No,No,Yes,No,No,Yes,No,No
Thavnair,Thavnair,Thavnasaurus,Thavnasaurus,17 - 21,17 - 21,17 - 21,,,,,,,,Plump Worm,Ver charnu,48,3,5,!!!,Powerful,Ferrage puissant,Yes,Yes,Yes,Yes,Yes,,Yes,Rain,Pluie,Showers,Pluie torrentielle,,,,,,3,P,Prehistoric,Créature antique,,Yes,Yes,No,No,Yes,No,No,Yes,No,No
Thavnair,Thavnair,Junior Jinbei,Jinbei,10 - 11,10 - 11,10 -11,,,,,,,,,,300,1,1,!,Precision,Ferrage précis,Yes,Yes,Yes,Yes,Yes,,Yes,Rain,Pluie,Showers,Pluie torrentielle,,,,,,4,,,,,No,Yes,No,No,Yes,No,No,Yes,No,No
Thavnair,Thavnair,Spectral Grouper,Garoupa spectral,10 - 11,10 - 11,10 - 11,,,,,,,,Krill,Krill,100,1,1,!!!,Powerful,Ferrage puissant,Yes,Yes,Yes,Yes,Yes,,No,Rain,Pluie,Showers,Pluie torrentielle,,,,,,4,,,,,Yes,Yes,No,No,Yes,No,No,Yes,No,No
Thavnair,Thavnair,I!Silkfin,Poisson-soie,,13 - 16,,,,,,,,,Krill,Krill,210,1,1,!!!,Powerful,Ferrage puissant,Yes,Yes,Yes,Yes,Yes,,Yes,Rain,Pluie,Showers,Pluie torrentielle,,,,,,4,,,,"(60s) x3 <img class=""iconMini"" src=""../img/fish/Red Mantis.png"" alt=""Red Mantis"" data-bs-toggle=""tooltip"" data-bs-trigger=""hover"" data-bs-title=""Red Mantis"" tabindex=""0"">",No,Yes,No,No,Yes,No,No,Yes,No,No
Thavnair,Thavnair,Great Red Mantis,Grande squille rouge,2 - 3,2 - 3,2 - 3,,5 - 6,,Rat Tail,Queue de rat,,,Ragworm,Teigne,75,3,5,!,Precision,Ferrage précis,,,,,,,,,,,,,,Yes,Yes,Yes,4,N,Mantis,Crevette-mante,,No,Yes,No,No,Yes,No,No,Yes,No,No
Thavnair,Thavnair,Guzel Gwl,Guzel gwl,3 - 4,3 - 4,3 - 4,,3 - 4,,Rat Tail,Queue de rat,,,Krill,Krill,70,2,3,!!,Powerful,Ferrage puissant,,,,,,,,,,,,,,Yes,Yes,Yes,4,,,,,No,Yes,No,No,Yes,No,No,Yes,No,No
Thavnair,Thavnair,Darpana,Darpana,4 - 5,4 - 5,4 - 5,,,,Rat Tail,Queue de rat,,,Krill,Krill,92,2,3,!,Precision,Ferrage précis,,,,,,,,,,,,,,Yes,No,No,4,,,,,No,Yes,No,No,No,No,No,No,No,No
Thavnair,Thavnair,Silverdart,Aiguille argentée,,5 - 6,,,,,Rat Tail,Queue de rat,,,Krill,Krill,164,2,3,!!,Powerful,Ferrage puissant,,,,,,,,,,,,,,No,Yes,No,4,,,,,No,No,No,No,Yes,No,No,No,No,No
Thavnair,Thavnair,T!Satrapsaurus,Radz-at-Hanniasaurus,2 - 3,2 - 3,2 - 3,,5.5+,,Rat Tail,Queue de rat,,,Plump Worm,Ver charnu,70,3,5,!!!,Powerful,Ferrage puissant,,,,,,,,,,,,,,Yes,Yes,Yes,4,P,Prehistoric,Créature antique,,Yes,Yes,No,No,Yes,No,No,Yes,No,No
Thavnair,Thavnair,Tiger Mantis,Squille tigre,6 - 7,,,,,,Rat Tail,Queue de rat,,,Ragworm,Teigne,150,4,7,!,Precision,Ferrage précis,,,,,,,,,,,,,,No,Yes,Yes,4,N,Mantis,Crevette-mante,,No,No,No,No,Yes,No,No,Yes,No,No
Thavnair,Thavnair,Mehi-mahi,Mouhi-mouhi,4 - 5,4 - 5,4 - 5,,4 - 5,,Rat Tail,Queue de rat,,,Plump Worm,Ver charnu,70,2,3,!!!,Powerful,Ferrage puissant,,,,,,,,,,,,,,Yes,Yes,Yes,4,,,,,Yes,Yes,No,No,Yes,No,No,Yes,No,No
Thavnair,Thavnair,Junior Jinbei,Jinbei,10 - 11,10 - 11,10 - 11,,,,Rat Tail,Queue de rat,,,,,300,1,1,!,Precision,Ferrage précis,,,,,,,,,,,,,,Yes,Yes,Yes,4,,,,,No,Yes,No,No,Yes,No,No,Yes,No,No
Thavnair,Thavnair,Pliosaurus,Pliosaurus,,,6 - 7,,,,Rat Tail,Queue de rat,,,Plump Worm,Ver charnu,204,4,7,!!!,Powerful,Ferrage puissant,,,,,,,,,,,,,,Yes,No,No,4,P,Prehistoric,Créature antique,,No,Yes,No,No,No,No,No,No,No,No
Thavnair,Thavnair,F!Manasvin,Manasvin,,,,,9 – 12,,Rat Tail,Queue de rat,,,Rat Tail,Queue de rat,500,1,1,!!!,Powerful,Ferrage puissant,,,,,,,,,,,,,,No,No,Yes,5,,,,"(15s) x3 <img class=""iconMini"" src=""../img/fish/Satrapsaurus.png"" alt=""Satrapsaurus"" data-bs-toggle=""tooltip"" data-bs-trigger=""hover"" data-bs-title=""Satrapsaurus"" tabindex=""0"">",Yes,No,No,No,No,No,No,Yes,No,No
