Stop,StopTranslated,Fish,FishTranslated,Fish-CN,Fish-KR,BaitRagworm,BaitKrill,BaitPlumpWorm,BaitVersatileLure,BaitSpecial,BaitMooch,BaitSpecialType,BaitSpecialType,BaitMoochType,BaitMoochType,BestBait,BestBaitTranslated,Points,DH,TH,Bite,Hookset,hooksetName,WeatherFairSkies,WeatherClouds,WeatherFog,WeatherSpecial1,WeatherSpecial2,WeatherClearSkies,WeatherSpecial1Type,WeatherSpecial1TypeTranslated,WeatherSpecial2Type,WeatherSpecial2TypeTranslated,TimeFrameDay,TimeFrameSunset,TimeFrameNight,Stars,Mission,Species,SpeciesTranslated,Intuition,FabledTable,Route1,Route2,Route3,Route4,Route5,Route6,Route7,Route8,Route9,Route10,Route11,Route12
Rhotano,Rhotano Sea,Deep Plaice,Deep Plaice,深海平鱼,심해 넙치,7 - 12,7 - 12,7 - 12,9 - 15,,,,,,,Krill,Krill,15,2,3,!!,Powerful,Powerful Hookset,Yes,Yes,Yes,No,No,Yes,Dust Storms,Dust Storms,Heat Waves,Heat Waves,,,,1,,,,,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes
Rhotano,Rhotano Sea,T!Crimson Monkfish,Crimson Monkfish,T!深红钓鮟鱇,T!진홍아귀,12 - 18,12 - 18,7 - 14,12 - 19,,,,,,,Plump Worm,Plump Worm,32,3 - 4,5 - 7,!!,Powerful,Powerful Hookset,Yes,Yes,Yes,Yes,Yes,Yes,Dust Storms,Dust Storms,Heat Waves,Heat Waves,,,,2,,,,,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes
Rhotano,Rhotano Sea,Chrome Hammerhead,Chrome Hammerhead,铬铁锤头鲨,크롬 망치상어,20 - 33,20 - 33,15 - 28,20 - 33,,,,,,,Plump Worm,Plump Worm,32,4,7,!!!,Powerful,Powerful Hookset,Yes,Yes,Yes,Yes,Yes,Yes,Dust Storms,Dust Storms,Heat Waves,Heat Waves,,,,2,S,Shark,Shark,,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes
Rhotano,Rhotano Sea,Ogre Eel,Ogre Eel,魔鳗,오거장어,13 - 20,13 - 20,8 - 15,13 - 20,,,,,,,Plump Worm,Plump Worm,38,2,3,!!,Powerful,Powerful Hookset,Yes,No,No,Yes,Yes,Yes,Dust Storms,Dust Storms,Heat Waves,Heat Waves,,,,2,,,,,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes
Rhotano,Rhotano Sea,Dark Nautilus,Dark Nautilus,暗鹦鹉螺,어둑앵무조개,17 - 27,17 - 26,17 - 27,17 - 27,,,,,,,Krill,Krill,46,2,3,!,Precision,Precision Hookset,Yes,Yes,Yes,Yes,Yes,Yes,Dust Storms,Dust Storms,Heat Waves,Heat Waves,,,,3,,,,,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes
Rhotano,Rhotano Sea,Lampfish,Lampfish,灯鱼,새알고기,11 - 16,11 - 16,11 - 16,11 - 16,,,,,,,Ragworm,Ragworm,47,2,3,!,Precision,Precision Hookset,Yes,Yes,Yes,Yes,Yes,Yes,Dust Storms,Dust Storms,Heat Waves,Heat Waves,,,,3,F,Fugu,Fugu,,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes
Rhotano,Rhotano Sea,Spectral Bass,Spectral Bass,幻光鲈,유령 농어,21 - 36,21 - 36,21 - 36,23 - 38,,,,,,,Plump Worm,Plump Worm,100,1,1,!!!,Powerful,Powerful Hookset,Yes,Yes,Yes,Yes,Yes,No,Dust Storms,Dust Storms,Heat Waves,Heat Waves,,,,4,,,,,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes
Rhotano,Rhotano Sea,I!Sabaton,Sabaton,I!海铠靴,I!바다판금장화,,11 - 19,,,,,,,,,Krill,Krill,204,1,1,!!!,Precision,Precision Hookset,Yes,Yes,Yes,Yes,Yes,Yes,Dust Storms,Dust Storms,Heat Waves,Heat Waves,,,,4,,,,"(60s) x2 <img class=""iconMini"" src=""../img/fish/Crimson Monkfish.png"" alt=""Crimson Monkfish"" data-bs-toggle=""popover"" data-bs-trigger=""hover"" data-bs-content=""Crimson Monkfish"" tabindex=""0"">",No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes
Rhotano,Rhotano Sea,Aronnax,Aronnax,阿龙纳斯,아로낙스,2 - 3,2 - 3,2 - 3,4 - 6,2 - 3,,Rat Tail,Rat Tail,,,Krill,Krill,95,2,3,!,Precision,Precision Hookset,,,,,,,,,,,Yes,Yes,Yes,4,,,,,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes
Rhotano,Rhotano Sea,Sweeper,Sweeper,清道夫,청소상어,5 - 7,,5 - 7,7 - 8,,,Rat Tail,Rat Tail,,,Plump Worm,Plump Worm,216,2,3,!!,Powerful,Powerful Hookset,,,,,,,,,,,Yes,No,No,4,S,Shark,Shark,,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No
Rhotano,Rhotano Sea,T!Silencer,Silencer,T!沉寂者,T!침묵어,3 - 4,3 - 4,3 - 4,4 - 7,5 - 7,,Rat Tail,Rat Tail,,,Ragworm,Ragworm,89,4,7,!,Precision,Precision Hookset,,,,,,,,,,,Yes,Yes,Yes,4,F,Fugu,Fugu,,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes
Rhotano,Rhotano Sea,T!Deep-sea Eel,Deep-sea Eel,T!深海鳗,T!심해 장어,5 - 9,5 - 9,5 - 9,7 - 11,5 - 9,,Rat Tail,Rat Tail,,,Plump Worm,Plump Worm,81,2,3,!!,Powerful,Powerful Hookset,,,,,,,,,,,Yes,Yes,Yes,4,,,,,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes
Rhotano,Rhotano Sea,Executioner,Executioner,处刑者,사형집행어,,,6 - 9,8 - 12,,,Rat Tail,Rat Tail,,,Plump Worm,Plump Worm,216,4,7,!!!,Powerful,Powerful Hookset,,,,,,,,,,,Yes,No,No,4,S,Shark,Shark,,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No
Rhotano,Rhotano Sea,Floating Saucer,Floating Saucer,浮游碟鱼,부유접시,,7 - 11,,9 - 13,,,Rat Tail,Rat Tail,,,Krill,Krill,222,4,7,!,Precision,Precision Hookset,,,,,,,,,,,No,No,Yes,4,,Jellyfish,Jellyfish,,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes
Rhotano,Rhotano Sea,True Barramundi,True Barramundi,尖吻鲈,바라문디,3.5 - 6,3.5 - 6,3.5 - 6,5 - 9,3.5 - 6,,Rat Tail,Rat Tail,,,Krill,Krill,95,2,3,!!,Powerful,Powerful Hookset,,,,,,,,,,,Yes,Yes,Yes,4,,,,,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes
Rhotano,Rhotano Sea,Prodigal Son,Prodigal Son,浪子鱼,방탕아,3.5 - 6,3.5 - 6,3.5 - 6,5 - 9,3.5 - 6,,Rat Tail,Rat Tail,,,Krill,Krill,95,2,3,!!,Powerful,Powerful Hookset,,,,,,,,,,,Yes,Yes,Yes,4,,,,,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes
Rhotano,Rhotano Sea,Slipsnail,Slipsnail,蜗牛鱼,달팽이고기,5 - 7,,,6 - 9,,,Rat Tail,Rat Tail,,,Ragworm,Ragworm,246,2,3,!,Precision,Precision Hookset,,,,,,,,,,,No,No,Yes,4,,,,,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes
Rhotano,Rhotano Sea,F!Stonescale,Stonescale,F!石骨鱼,F!바위비늘,,,,,9 - 13,,Rat Tail,Rat Tail,,,Rat Tail,Rat Tail,500,1,1,!!!,Powerful,Powerful Hookset,,,,,,,,,,,No,Yes,No,5,,,,"(15s) x1 <img class=""iconMini"" src=""../img/fish/Deep-sea Eel.png"" alt=""Deep-sea Eel"" data-bs-toggle=""tooltip"" data-bs-trigger=""hover"" data-bs-title=""Deep-sea Eel"" tabindex=""0""> + x1 <img class=""iconMini"" src=""../img/fish/Silencer.png"" alt=""Silencer"" data-bs-toggle=""tooltip"" data-bs-trigger=""hover"" data-bs-title=""Silencer"" tabindex=""0"">",Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No
Cieldalaes,The Cieldalaes,Tortoiseshell Crab,Tortoiseshell Crab,龟甲蟹,거북등딱지게,6 - 12,6 - 12,6 - 12,8 - 15,,,,,,,Krill,Krill,10,2,3,!!,Powerful,Powerful Hookset,Yes,Yes,Yes,Yes,Yes,Yes,Thunder,Thunder,Thunderstorms,Thunderstorms,,,,1,C,Crab,Crab,,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
Cieldalaes,The Cieldalaes,Lady's Cameo,Lady's Cameo,艾德薇雅的戒指,에드비아의 반지,12 - 22,12 - 22,12 - 22,14 - 26,,,,,,,Ragworm,Ragworm,15,2,3,!,Precision,Precision Hookset,Yes,Yes,Yes,No,No,Yes,Thunder,Thunder,Thunderstorms,Thunderstorms,,,,1,,,,,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
Cieldalaes,The Cieldalaes,T!Metallic Boxfish,Metallic Boxfish,T!金属箱,T!철상자복,5 - 11,5 - 11,5 - 11,9 - 14,,,,,,,Ragworm,Ragworm,9,2,3,!,Precision,Precision Hookset,Yes,Yes,Yes,Yes,Yes,Yes,Thunder,Thunder,Thunderstorms,Thunderstorms,,,,1,F,Fugu,Fugu,,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
Cieldalaes,The Cieldalaes,Goobbue Ray,Goobbue Ray,古菩鳐,구부가오리,17 - 27,17 - 27,12 - 22,18 - 27,,,,,,,Plump Worm,Plump Worm,33,2,3,!!,Powerful,Powerful Hookset,Yes,Yes,Yes,Yes,Yes,Yes,Thunder,Thunder,Thunderstorms,Thunderstorms,,,,2,,Manta,Manta,,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
Cieldalaes,The Cieldalaes,Watermoura,Watermoura,海瓦魔蛾,바다와무라,14 - 22,9 - 17,14 - 22,14 - 22,,,,,,,Krill,Krill,41,2,3,!,Precision,Precision Hookset,Yes,Yes,Yes,Yes,No,Yes,Thunder,Thunder,Thunderstorms,Thunderstorms,,,,2,,,,,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
Cieldalaes,The Cieldalaes,King Cobrafish,King Cobrafish,眼镜王蛇鱼,왕독사고기,9 - 12,9 - 12,5 - 8,9 - 12,,,,,,,Plump Worm,Plump Worm,39,2,3,!!!,Powerful,Powerful Hookset,Yes,No,No,Yes,Yes,Yes,Thunder,Thunder,Thunderstorms,Thunderstorms,,,,2,,,,,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
Cieldalaes,The Cieldalaes,Mamahi-mahi,Mamahi-mahi,真麻希鲯鳅,마마히마히,18 - 30,18 - 30,18 - 30,18 - 30,,,,,,,Plump Worm,Plump Worm,58,2,3,!!!,Powerful,Powerful Hookset,Yes,Yes,Yes,Yes,Yes,Yes,Thunder,Thunder,Thunderstorms,Thunderstorms,,,,3,,,,,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
Cieldalaes,The Cieldalaes,Lavandin Remora,Lavandin Remora,混种薰衣草印鱼,라반딘 빨판어,16 - 26,16 - 26,16 - 26,16 - 25,,,,,,,Krill,Krill,52,2,3,!,Precision,Precision Hookset,Yes,Yes,Yes,Yes,Yes,Yes,Thunder,Thunder,Thunderstorms,Thunderstorms,,,,3,,,,,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
Cieldalaes,The Cieldalaes,Spectral Butterfly,Spectral Butterfly,幻光蝴蝶鱼,유령나비어,12 - 18,12 - 18,12 - 18,13 - 20,,,,,,,Ragworm,Ragworm,100,1,1,!!!,Precision,Precision Hookset,Yes,Yes,Yes,Yes,Yes,No,Thunder,Thunder,Thunderstorms,Thunderstorms,,,,4,,,,,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
Cieldalaes,The Cieldalaes,I!Cieldalaes Geode,Cieldalaes Geode,I!谢尔达莱结晶,I!시엘달레 수정굴어,,13 - 26,,,,,,,,,Krill,Krill,246,1,1,!!!,Powerful,Powerful Hookset,Yes,Yes,Yes,Yes,Yes,Yes,Thunder,Thunder,Thunderstorms,Thunderstorms,,,,4,,,,"(60s) x3 <img class=""iconMini"" src=""../img/fish/Metallic Boxfish.png"" alt=""Metallic Boxfish"" data-bs-toggle=""tooltip"" data-bs-trigger=""hover"" data-bs-title=""Metallic Boxfish"" tabindex=""0"">",No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
Cieldalaes,The Cieldalaes,Titanshell Crab,Titanshell Crab,泰坦硬甲蟹,타이탄등딱지게,2 - 3,2 - 3,2 - 3,4 - 6,4 - 6,,Squid Strip,Squid Strip,,,Krill,Krill,84,4,7,!!,Powerful,Powerful Hookset,,,,,,,,,,,Yes,Yes,Yes,4,C,Crab,Crab,,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
Cieldalaes,The Cieldalaes,Mythril Boxfish,Mythril Boxfish,秘银箱,미스릴상자복,2 - 3,2 - 3,2 - 3,4 - 6,4 - 6,,Squid Strip,Squid Strip,,,Ragworm,Ragworm,64,4,7,!,Precision,Precision Hookset,,,,,,,,,,,Yes,Yes,Yes,4,F,Fugu,Fugu,,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
Cieldalaes,The Cieldalaes,T!Mistbeard's Cup,Mistbeard's Cup,T!雾须酒杯,T!안개수염의 잔,3 - 4,3 - 4,3 - 4,5 - 8,3 - 4,,Squid Strip,Squid Strip,,,Squid Strip,Squid Strip,84,2,3,!!,Powerful,Powerful Hookset,,,,,,,,,,,Yes,Yes,Yes,4,,,,,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
Cieldalaes,The Cieldalaes,Anomalocaris Saron,Anomalocaris Saron,帚状奇虾,아노말로카리스 사론,3.5 - 6,3.5 - 6,3.5 - 6,6 - 9,3.5 - 6,,Squid Strip,Squid Strip,,,Squid Strip,Squid Strip,84,2,3,!,Precision,Precision Hookset,,,,,,,,,,,Yes,Yes,Yes,4,,,,,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
Cieldalaes,The Cieldalaes,Flaming Eel,Flaming Eel,火烈鳗,불꽃장어,,6 - 9,,9 - 11,6 - 9,,Squid Strip,Squid Strip,,,Krill,Krill,198,2,3,!!,Powerful,Powerful Hookset,,,,,,,,,,,No,Yes,No,4,,,,,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
Cieldalaes,The Cieldalaes,T!Jetborne Manta,Jetborne Manta,T!喷射蝠鲼,T!제트가오리,2 - 3,2 - 3,2 - 3,4 - 6,4 - 6,,Squid Strip,Squid Strip,,,Plump Worm,Plump Worm,75,4,7,!!!,Powerful,Powerful Hookset,,,,,,,,,,,Yes,Yes,Yes,4,,Manta,Manta,,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
Cieldalaes,The Cieldalaes,Devil's Sting,Devil's Sting,恶魔刺,악마의 독침,,7 - 11,,9 - 12,7 - 11,,Squid Strip,Squid Strip,,,Krill,Krill,201,2,3,!!,Powerful,Powerful Hookset,,,,,,,,,,,Yes,No,No,4,,,,,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No
Cieldalaes,The Cieldalaes,Callichthyid,Callichthyid,美鲶,칼리크티스,,,6 - 8,10 - 12,,,Squid Strip,Squid Strip,,,Plump Worm,Plump Worm,178,2,3,!!!,Powerful,Powerful Hookset,,,,,,,,,,,Yes,No,No,4,,,,,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No
Cieldalaes,The Cieldalaes,Meandering Mora,Meandering Mora,浮游翻车鱼,부유개복치,,,7 - 9,9 - 11,,,Squid Strip,Squid Strip,,,Plump Worm,Plump Worm,283,2,3,!!,Powerful,Powerful Hookset,,,,,,,,,,,No,Yes,No,4,,,,,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
Cieldalaes,The Cieldalaes,F!Hafgufa,Hafgufa,F!哈弗古法,F!하프구바,,,,,9 - 12,,Squid Strip,Squid Strip,,,Squid Strip,Squid Strip,500,1,1,!!!,Powerful,Powerful Hookset,,,,,,,,,,,No,No,Yes,5,,,,"(15s) x2 <img class=""iconMini"" src=""../img/fish/Jetborne Manta.png"" alt=""Jetborne Manta"" data-bs-toggle=""tooltip"" data-bs-trigger=""hover"" data-bs-title=""Jetborne Manta"" tabindex=""0""> + x1 <img class=""iconMini"" src=""../img/fish/Mistbeard_s Cup.png"" alt=""Mistbeard\'s Cup"" data-bs-toggle=""tooltip"" data-bs-trigger=""hover"" data-bs-title=""Mistbeard's Cup"" tabindex=""0"">",Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No
Bloodbrine,The Bloodbrine Sea,Thaliak Crab,Thaliak Crab,沙利亚克河蟹,살리아크게,4 - 7,4 - 7,4 - 7,7 - 11,,,,,,,Ragworm,Ragworm,9,2,3,!,Precision,Precision Hookset,Yes,Yes,Yes,Yes,Yes,Yes,Rain,Rain,Showers,Showers,,,,1,C,Crab,Crab,,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No
Bloodbrine,The Bloodbrine Sea,Star of the Destroyer,Star of the Destroyer,破坏神的星尘,랄거의 별조각,7 - 13,7 - 13,7 - 13,10 - 17,,,,,,,Ragworm,Ragworm,14,2,3,!,Precision,Precision Hookset,Yes,Yes,Yes,No,No,Yes,Rain,Rain,Showers,Showers,,,,1,,,,,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No
Bloodbrine,The Bloodbrine Sea,True Scad,True Scad,真鲹,참전갱이,6 -10,6 - 10,6 - 10,9 - 14,,,,,,,Krill,Krill,8,2,3,!!,Powerful,Powerful Hookset,Yes,Yes,Yes,Yes,Yes,Yes,Rain,Rain,Showers,Showers,,,,1,,,,,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No
Bloodbrine,The Bloodbrine Sea,Blooded Wrasse,Blooded Wrasse,渗血隆头鱼,피혹부리놀래기,12 - 17,12 - 17,7 - 12,12 - 17,,,,,,,Plump Worm,Plump Worm,35,2,3,!!,Powerful,Powerful Hookset,Yes,Yes,Yes,Yes,No,Yes,Rain,Rain,Showers,Showers,,,,2,,,,,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No
Bloodbrine,The Bloodbrine Sea,Bloodpolish Crab,Bloodpolish Crab,染血抛光蟹,핏빛집게게,14 - 27,19 - 32,19 - 32,19 - 32,,,,,,,Ragworm,Ragworm,28,4,7,!,Precision,Precision Hookset,Yes,Yes,Yes,Yes,Yes,Yes,Rain,Rain,Showers,Showers,,,,2,C,Crab,Crab,,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No
Bloodbrine,The Bloodbrine Sea,Blue Stitcher,Blue Stitcher,蓝针,푸른바늘,8 - 11,3 - 6,8 - 11,8 - 11,,,,,,,Krill,Krill,30,2,3,!,Precision,Precision Hookset,Yes,No,No,Yes,Yes,Yes,Rain,Rain,Showers,Showers,,,,2,,,,,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No
Bloodbrine,The Bloodbrine Sea,Bloodfresh Tuna,Bloodfresh Tuna,血红金枪鱼,핏빛참치,14 - 21,14 - 21,14 - 21,14 - 21,,,,,,,Plump Worm,Plump Worm,43,2,3,!!,Powerful,Powerful Hookset,Yes,Yes,Yes,Yes,Yes,Yes,Rain,Rain,Showers,Showers,,,,3,,,,,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No
Bloodbrine,The Bloodbrine Sea,T!Sunken Mask,Sunken Mask,T!落水面具,T!침몰가면,14 - 22,14 - 22,14 - 22,14 - 22,,,,,,,Ragworm,Ragworm,49,2,3,!!!,Powerful,Powerful Hookset,Yes,Yes,Yes,Yes,Yes,Yes,Rain,Rain,Showers,Showers,,,,3,,,,,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No
Bloodbrine,The Bloodbrine Sea,Spectral Eel,Spectral Eel,幻光鳗,유령 장어,14 - 22,14 - 22,14 - 22,14 - 22,,,,,,,Krill,Krill,100,1,1,!!!,Powerful,Powerful Hookset,Yes,Yes,Yes,Yes,Yes,No,Rain,Rain,Showers,Showers,,,,4,,,,,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No
Bloodbrine,The Bloodbrine Sea,I!Bareface,Bareface,I!素面,I!민낯문어,,8 - 15,,,,,,,,,Krill,Krill,326,1,1,!!!,Powerful,Powerful Hookset,Yes,Yes,Yes,Yes,Yes,Yes,Rain,Rain,Showers,Showers,,,,4,,,,"(60s) x1 <img class=""iconMini"" src=""../img/fish/Sunken Mask.png"" alt=""Sunken Mask"" data-bs-toggle=""tooltip"" data-bs-trigger=""hover"" data-bs-title=""Sunken Mask"" tabindex=""0"">",No,No,No,No,No,No,No,Yes,Yes,No,No,No,No
Bloodbrine,The Bloodbrine Sea,Oracular Crab,Oracular Crab,神谕蟹,제사장게,2 - 3,2 - 3,2 - 3,4 - 6,,,Pill Bug,Pill Bug,,,Ragworm,Ragworm,102,4,7,!,Precision,Precision Hookset,,,,,,,,,,,Yes,No,No,4,C,Crab,Crab,,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Bloodbrine,The Bloodbrine Sea,Dravanian Bream,Dravanian Bream,龙堡鲷鱼,드라바니아 도미,3 - 4,3 - 4,3 - 4,5 - 7,,,Pill Bug,Pill Bug,,,Krill,Krill,77,2,3,!,Precision,Precision Hookset,,,,,,,,,,,Yes,Yes,Yes,4,,,,,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No
Bloodbrine,The Bloodbrine Sea,Skaldminni,Skaldminni,余韵,시인의 추억,,4.5 - 8,,7 - 10,,,Pill Bug,Pill Bug,,,Krill,Krill,102,4,7,!!,Powerful,Powerful Hookset,,,,,,,,,,,No,No,Yes,4,,Manta,Manta,,No,No,No,No,No,No,No,No,Yes,No,No,No,No
Bloodbrine,The Bloodbrine Sea,Serrated Clam,Serrated Clam,锯齿蛤蜊,톱니조개,3 - 4,3 - 4,3 - 4,5 - 7,3 - 4,,Pill Bug,Pill Bug,,,Ragworm,Ragworm,74,2,3,!,Precision,Precision Hookset,,,,,,,,,,,Yes,Yes,Yes,4,,,,,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No
Bloodbrine,The Bloodbrine Sea,T!Beatific Vision,Beatific Vision,T!幸福愿景,T!지복직관어,2 - 3,2 - 3,2 - 3,5 - 7,2 - 3,,Pill Bug,Pill Bug,,,Pill Bug,Pill Bug,77,4,7,!!,Powerful,Powerful Hookset,,,,,,,,,,,Yes,Yes,Yes,4,,,,,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No
Bloodbrine,The Bloodbrine Sea,Exterminator,Exterminator,歼灭者,몰살게,5.5 - 8,,,8 - 10,,,Pill Bug,Pill Bug,,,Ragworm,Ragworm,255,4,7,!,Precision,Precision Hookset,,,,,,,,,,,Yes,No,No,4,C,Crab,Crab,,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Bloodbrine,The Bloodbrine Sea,Gory Tuna,Gory Tuna,血玉金枪鱼,유혈참치,3 - 4,3 - 4,3 - 4,6 - 8,3 - 4,,Pill Bug,Pill Bug,,,Plump Worm,Plump Worm,92,2,3,!!,Powerful,Powerful Hookset,,,,,,,,,,,Yes,Yes,Yes,4,,,,,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No
Bloodbrine,The Bloodbrine Sea,Ticinepomis,Ticinepomis,八鳍腔棘鱼,티키네포미스,3 - 4,3 - 4,3 - 4,5 - 7,3 - 4,,Pill Bug,Pill Bug,,,Plump Worm,Plump Worm,92,2,3,!!!,Powerful,Powerful Hookset,,,,,,,,,,,Yes,Yes,Yes,4,,,,,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No
Bloodbrine,The Bloodbrine Sea,Quartz Hammerhead,Quartz Hammerhead,石英锤头鲨,수정 망치상어,,,7 - 9,9 - 11,,,Pill Bug,Pill Bug,,,Plump Worm,Plump Worm,460,2,3,!!!,Powerful,Powerful Hookset,,,,,,,,,,,Yes,Yes,Yes,4,,Shark,Shark,,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No
Bloodbrine,The Bloodbrine Sea,F!Seafaring Toad,Seafaring Toad,F!海洋蟾蜍,F!바다개구리,,,,,9 - 12,,Pill Bug,Pill Bug,,,Pill Bug,Pill Bug,500,1,1,!!!,Precision,Precision Hookset,,,,,,,,,,,Yes,No,No,5,,,,"(15s) x3 <img class=""iconMini"" src=""../img/fish/Beatific Vision.png"" alt=""Beatific Vision"" data-bs-toggle=""tooltip"" data-bs-trigger=""hover"" data-bs-title=""Beatific Vision"" tabindex=""0"">",Yes,No,No,No,No,No,No,No,No,Yes,No,No,No
Rothlyt,The Rothlyt Sound,Crow Puffer,Crow Puffer,暗鸦鲀,까마귀복,3 - 6,3 - 6,3 - 6,5 - 9,,,,,,,Ragworm,Ragworm,10,2,3,!,Precision,Precision Hookset,Yes,Yes,Yes,Yes,Yes,Yes,Thunder,Thunder,Thunderstorms,Thunderstorms,,,,1,F,Fugu,Fugu,,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes
Rothlyt,The Rothlyt Sound,T!Rothlyt Kelp,Rothlyt Kelp,T!罗斯利特海带,T!로들리트 미역,6 - 11,6 - 11,6 - 11,8 - 14,,,,,,,Ragworm,Ragworm,10,3 - 4,5 - 7,!,Precision,Precision Hookset,Yes,Yes,Yes,Yes,Yes,Yes,Thunder,Thunder,Thunderstorms,Thunderstorms,,,,1,,,,,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes
Rothlyt,The Rothlyt Sound,Living Lantern,Living Lantern,鬼灯水母,꽈리해파리,6 - 11,6 - 11,6 - 11,9 - 13,,,,,,,Krill,Krill,13,2,3,!!,Powerful,Powerful Hookset,Yes,Yes,Yes,No,No,Yes,Thunder,Thunder,Thunderstorms,Thunderstorms,,,,1,,Jellyfish,Jellyfish,,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes
Rothlyt,The Rothlyt Sound,Honeycomb Fish,Honeycomb Fish,蜂巢鱼,벌집고기,12 - 23,17 - 28,17 - 28,17 - 27,,,,,,,Ragworm,Ragworm,29,4,7,!,Precision,Precision Hookset,Yes,Yes,Yes,Yes,Yes,Yes,Thunder,Thunder,Thunderstorms,Thunderstorms,,,,2,F,Fugu,Fugu,,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes
Rothlyt,The Rothlyt Sound,Godsbed,Godsbed,海神的睡床,해신의 침대,17 - 28,17 - 28,12 - 23,17 - 28,,,,,,,Plump Worm,Plump Worm,29,2,3,!!,Powerful,Powerful Hookset,Yes,No,No,Yes,Yes,Yes,Thunder,Thunder,Thunderstorms,Thunderstorms,,,,2,,,,,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes
Rothlyt,The Rothlyt Sound,Lansquenet,Lansquenet,雇佣兵,용병어,15 - 25,15 - 25,11 - 20,15 - 25,,,,,,,Plump Worm,Plump Worm,36,2,3,!!,Powerful,Powerful Hookset,Yes,Yes,Yes,Yes,No,Yes,Thunder,Thunder,Thunderstorms,Thunderstorms,,,,2,,,,,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes
